case no. in WK,win/loss,year,issue,us p/d,case official no.,case name
310,0,2017,corporate,p,(2017)沪02民初183号,美国MTI科技开发公司与上海徐行资产经营有限公司、上海嘉定摩配(集团)有限公司、王云龙损害公司利益责任纠纷案
311,1,2017,trademark,p,(2017)京73行初1416号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
314,1,2017,corporate,p,(2017)粤2071民初22043号,美国加州品味与何美娟合伙协议纠纷一审民事判决书
315,1,2017,trademark,p,(2017)京73行初4288号,美国柏斯特啤酒有限责任公司与国家工商行政管理总局商标评审委员会一审行政判决书
325,0,2017,trademark,p,(2017)京73行初7314号,美国宝德信保险公司与国家工商行政管理总局商标评审委员会一审行政判决书
326,1,2017,trademark,p,(2017)京73行初6162号,美国百嘉米格奥尼国际有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
327,1,2017,trademark,p,(2017)京73行初6163号,美国百嘉米格奥尼国际有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
333,1,2017,trademark,p,(2017)京73行初3585号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
338,0,2017,trademark,p,(2017)京73行初2681号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
339,0,2017,trademark,p,(2017)京73行初2680号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
341,0,2017,trademark,p,(2017)京73行初2674号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
342,1,2017,trademark,p,(2017)京73行初2676号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
343,1,2017,trademark,p,(2017)京73行初2678号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
344,0,2017,trademark,p,(2017)京73行初2675号, 美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书 
345,0,2017,trademark,p,(2017)京73行初2677号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
346,0,2017,trademark,p,(2017)京73行初2679号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
347,0,2017,trademark,p,(2017)京73行初2673号,美国健赞公司与国家工商行政管理总局商标评审委员会一审行政判决书
351,0,2017,trademark,p,(2017)粤2071民初22042号,美国加州品味与何美娟民间借贷纠纷一审民事判决书
354,0,2017,trademark,p,(2017)京73行初2855号,美国银行公司与国家工商行政管理总局商标评审委员会一审行政判决书
359,0,2017,trademark,p,(2017)京73行初7861号,斯凯杰美国公司与国家工商行政管理总局商标评审委员会一审行政判决书
360,0,2017,trademark,p,(2017)京73行初8105号,美国威嘉律师事务所与国家工商行政管理总局商标评审委员会一审行政判决书
361,0,2017,trademark,p,(2017)京73行初7862号,斯凯杰美国公司与国家工商行政管理总局商标评审委员会一审行政判决书
362,1,2017,trademark,p,(2017)京73行初3220号,雷勃美国公司与国家工商行政管理总局商标评审委员会一审行政判决书
363,0,2017,trademark,p,(2017)京73行初7132号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
371,0,2017,trademark,p,(2017)京73行初3528号, 美国航空公司与国家工商行政管理总局商标评审委员会一审行政判决书 
372,1,2017,trademark,p,(2017)京73行初2854号,美国银行公司与国家工商行政管理总局商标评审委员会一审行政判决书
