case no. in WK,win/loss,year,issue,us p/d,case official no.,case name
491,0,2010,trademark,p,(2010)一中知行初字第1889号,骏升发展（美国）有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
492,1,2010,trademark,p,(2010)一中知行初字第835号,美国太子行与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
494,0,2010,trademark,p,(2010)一中知行初字第175号,美国高思公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
440,1,2009,contract,p,(2009)青民四初字第207号,美国轮胎进口股份有限公司与青岛光明轮胎有限公司国际货物买卖合同纠纷案
495,1,2009,trademark,p,(2009)二中民初字第18332号,哥伦比亚运动服装公司与北京秀水街市场有限公司、张一丙侵犯商标专用权纠纷案
496,1,2009,trademark,p,(2009)二中民初字第07936号,汤美•希尔弗格许可有限责任公司与北京秀水街市场有限公司、张先胜侵犯商标专用权纠纷案
498,0,2009,contract,d,(2009)二中民初字第20184号,普洱市孟嘎隆水电开发有限公司与美国纽博集团合同纠纷案
499,0,2009,patent,p,(2009)一中行初字第443号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
497,1,2008,contract,p,(2008)沪一中民五(商)初字第316号,美国联合生物医学公司与申联生物医药(上海)有限公司企业借贷纠纷案
79,0,2007,trademark,d,(2007)二中民初字第7560号,北京目的地国际旅游有限公司与第一品牌投资管理公司商标使用许可合同纠纷案
99,1,2007,trademark/competition,p,(2007)沪一中民五(知)初字第236号,原告埃克森美孚公司、美孚石油有限公司等诉被告美国美孚国际石油集团有限公司、西安焱青科技发展有限公司等侵犯商标专用权及不正当竞争纠纷一案
500,0,2007,copyright,d,(2007)一中民初字第13730号,北京溢海飞虹科技有限公司与美国艾斯兰公司计算机网络域名纠纷案
504,1,2007,trademark,p,上海市第一中级人民法院] [初字第181号,原告美国威斯康辛州花旗参农业总会诉被告上海华氏大药房有限公司、被告广东正韩药业股份有限公司商标侵权纠纷一案
505,1,2007,competition,p,(2007)二中民初字第17845号,金鹰公司与北京金鹰亚美国际商贸有限公司不正当竞争纠纷案
506,1,2007,trademark,p,(2007)沪一中民五(知)初字第181号,美国威斯康辛州花旗参农业总会与上海华氏大药房有限公司、广东正韩药业股份有限公司侵害商标权纠纷案
507,1,2007,trademark,p,(2007)二中民初字第6727号,金鹰公司与北京金鹰亚美国际商贸有限公司侵犯商标权纠纷案
508,1,2007,trademark,p,2007沪一中民五(知)初字第181号,美国威斯康辛州花旗参农业总会与上海华氏大药房有限公司、广东正韩药业股份有限公司侵害商标权纠纷案
11,1,2006, contract,p,(2006)成民初字第41号,
501,0,2006,contract,d,(2006)一中民初字第10888号,北京光明远景教育发展有限公司与美国环球经济技术交流公司合同纠纷案
509,0,2006,trademark,p,(2006)二中民初字第02150号,美国汽车配件总公司与北京三爱锐星汽车配件有限公司侵犯商标权纠纷案
510,1,2006,competition,d,(2006)二中民初字第00467号,北京正之本人体力学研究所与耐克（苏州）体育用品有限公司、美国耐克公司不正当竞争纠纷
101,1,2004,trademark,p,(2004)杭民三初字第393号, 新平衡运动鞋公司与陈家财、晋江市求质东亚鞋服实业有限公司、美国纽巴伦国际集团有限公司商标侵权纠纷、不正当竞争纠纷案 
102,0,2004,trademark,p,(2004)杭民三初字第394号,原告新平衡运动鞋公司诉被告陈家财、晋江市求质东亚鞋服实业有限公司 、美国纽巴伦国际集团有限公司商标侵权纠纷一案
103,1,2004,trademark,p,(2004)杭民三初字第395号,原告新平衡运动鞋公司诉被告陈家财、晋江市求质东亚鞋服实业有限公司 、美国纽巴伦国际集团有限公司商标侵权纠纷一案
106,0,2004,contract,d,(2004)沪一中民五(商)初字第24号,上海民光国际企业有限公司与美国新中冠公司买卖合同纠纷案
511,1,2004,competition,p,(2004)二中民初字第8007号,德纳公司与北京信德中实商贸有限公司不正当竞争纠纷案
512,1,2004,copyright,p,(2004)二中民初字第00748号,奥美尼有限公司与北京万网网络技术有限公司、扬州天音信息有限公司、扬州大唯进出口有限公司计算机网络域名纠纷案
513,1,2004,copyright,p,(2004)二中民初字第00750号,奥美尼有限公司与北京万网网络技术有限公司、扬州大唯进出口有限公司计算机网络域名纠纷案
514,0,2004,contract,d,(2004)沪一中民五(商)初字第20号,上海贤华皮革制品厂与宁兴（美国）有限公司合同纠纷案
515,0,2003,copyright,d,(2003)二中民初字第07939号,西安钻石网络有限责任公司与美国中国贸易协会有限公司侵犯著作权纠纷案
516,1,2003,copyright,p,(2003)二中民初字第6468号,匡威公司与北京国网信息有限责任公司计算机网络域名纠纷案
517,1,2003,copyright,p,(2003)沪一中民五(知)初字第29号,美国奥多比公司与丹诺梅格国际广告有限公司著作权侵权纠纷案
518,1,2002,contract,p,(2002)沪一中民五(商)初字第121号,美国ibc公司与中基宁波对外贸易股份有限公司、上海海岸贸易有限公司买卖合同纠纷案
522,0,2002,contract,d,(2002)沪一中民五(商)初字第50号, 鸿运国际运输服务有限公司上海分公司与怡通物流（美国）公司货运代理合同纠纷案 
523,0,2002,contract,d,(2002)沪一中民五(商)初字第40号,上海东方福达运输服务有限公司与怡通物流（美国）公司货运代理合同纠纷案
